State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
District of Columbia,50.1,2010,59.8,70893.0,39.14,District of Columbia2010,0.0,0.3161015485407981,0.5669416319237641,2.4095801072066707,2.4095801072066707,0
Florida,25.8,2010,70.8,54876.0,31.01,Florida2010,0.0,0.08609635179528558,0.4978584519624229,1.130211976254971,1.130211976254971,0
Georgia,27.3,2010,63.0,54940.0,26.07,Georgia2010,0.0,0.08790078630897318,0.6617675132453116,1.0956504919687158,1.0956504919687158,0
Hawaii,29.5,2010,77.1,74145.0,73.8,Hawaii2010,0.0,0.10792914783731439,0.48023886378308583,1.3306326662362815,1.3306326662362815,0
Idaho,24.4,2010,43.1,58592.0,19.18,Idaho2010,0.0,0.07691656288916562,0.7238383838383838,1.202045108620451,1.202045108620451,0
Illinois,30.8,2010,51.5,63173.0,26.82,Illinois2010,0.0,0.10634741394443292,0.6353320141072084,1.1571424923798732,1.1571424923798732,0
Indiana,22.7,2010,51.5,57458.0,22.55,Indiana2010,0.0,0.09223810145589868,0.9310246784618398,1.1507916041000197,1.1507916041000197,0
Iowa,24.9,2010,46.7,61041.0,22.44,Iowa2010,0.0,0.10131341263622765,1.0670752902628393,1.3893040814872855,1.3893040814872855,0
Kansas,29.8,2010,53.2,57352.0,24.52,Kansas2010,0.0,0.09742503219940905,0.840791726645958,1.3651587241457686,1.3651587241457686,0
Kentucky,20.5,2010,55.4,51188.0,19.81,Kentucky2010,0.0,0.08064781428709897,0.9707250169622953,1.127227391683629,1.127227391683629,0
Louisiana,21.4,2010,66.4,48941.0,23.12,Louisiana2010,0.0,0.10393435741304548,1.9028000738075468,1.1701079435372266,1.1701079435372266,0
Maine,26.8,2010,41.9,59689.0,37.64,Maine2010,0.0,0.08510781758957654,0.6808745928338762,1.2888127035830619,1.2888127035830619,0
Maryland,36.1,2010,54.8,79951.0,37.24,Maryland2010,0.0,0.1106795259530173,0.5227584751723168,1.1764745393163596,1.1764745393163596,0
Massachusetts,39.0,2010,48.2,75882.0,41.79,Massachusetts2010,0.0,0.12878589775717328,0.4483438792131312,1.2891677108131814,1.2891677108131814,0
Michigan,25.2,2010,44.5,57628.0,29.05,Michigan2010,0.0,0.08373076014855205,0.5968016229096451,1.0815520683511153,1.0815520683511153,0
Minnesota,31.8,2010,40.7,65156.0,24.72,Minnesota2010,0.0,0.10656794777134418,0.721216336999184,1.3246621070221116,1.3246621070221116,0
Mississippi,19.5,2010,63.3,47521.0,25.46,Mississippi2010,0.0,0.06885304895924949,0.8456134564643799,1.0925908824391675,1.0925908824391675,0
Missouri,25.6,2010,53.8,57057.0,22.81,Missouri2010,0.0,0.09226751660215207,0.6838886324088214,1.2341706026492418,1.2341706026492418,0
Montana,28.8,2010,41.1,51407.0,23.08,Montana2010,0.0036976568233145794,0.08587836021505375,0.9075112007168459,1.3806989247311827,1.3806989247311827,0
Nebraska,28.6,2010,47.3,65384.0,22.03,Nebraska2010,0.0,0.10723998594518623,1.0161138439915671,1.428674162567346,1.428674162567346,0
Nevada,21.7,2010,50.2,63760.0,28.66,Nevada2010,0.0,0.09405462089777442,0.5270479064503961,1.1150916635231989,1.1150916635231989,0
New Hampshire,32.8,2010,43.7,82979.0,43.48,New Hampshire2010,0.0,0.1031884150222788,0.47592457033736474,1.2948870146403564,1.2948870146403564,0
New Jersey,35.4,2010,53.1,78415.0,43.07,New Jersey2010,0.0,0.11509375437940861,0.5348234222450601,1.1586446022329144,1.1586446022329144,0
New Mexico,25.0,2010,53.9,56206.0,24.88,New Mexico2010,0.0,0.08888696291627272,0.6867360016808488,1.1135381867843261,1.1135381867843261,0
New York,32.5,2010,45.6,61993.0,48.1,New York2010,0.0,0.12800971950492251,0.4053743944926293,1.1514570887519486,1.1514570887519486,0
North Carolina,26.5,2010,58.7,54582.0,25.4,North Carolina2010,0.0,0.09245396315291321,0.6067665250599811,1.1398302920913033,1.1398302920913033,0
North Dakota,27.6,2010,38.9,63519.0,20.87,North Dakota2010,0.0,0.11180256972735819,1.4844280789721092,1.5788561579442182,1.5788561579442182,0
Ohio,24.6,2010,50.9,57143.0,26.89,Ohio2010,0.0,0.09275672720533729,0.7020650481838399,1.1894295774647887,1.1894295774647887,0
Oklahoma,22.9,2010,59.2,53677.0,22.3,Oklahoma2010,0.0,0.08883429295255642,0.9096113542146477,1.2264670658682635,1.2264670658682635,0
Oregon,28.8,2010,47.5,63016.0,22.15,Oregon2010,0.0007389518304172727,0.08975622026576258,0.5368994367583529,1.1889998359490348,1.1889998359490348,0
Pennsylvania,27.1,2010,48.9,60166.0,30.29,Pennsylvania2010,0.0,0.10258817941236345,0.637007701703196,1.2078062020764064,1.2078062020764064,0
Rhode Island,30.2,2010,50.2,64287.0,41.25,Rhode Island2010,0.0,0.09852280422226649,0.3891655048795061,1.1678211511651067,1.1678211511651067,0
South Carolina,24.5,2010,62.4,51927.0,24.89,South Carolina2010,0.0,0.07702953743265836,0.7736341259520714,1.0949410180196917,1.0949410180196917,0
