State,Percentage_pop_with_bachelors,Year,Adults 19-25,Adults 26-34,Adults 35-54,EnergyC_addunit,num_jobs_tot,Av_temperature,Median_income,GDP,Elec_price,Tot_vehicle,Number of registrations,Label,Label_py,Label_R,Key
Louisiana,21.4,2010,445500.0,533300.0,1189000.0,4124890.0,2536560.0,66.4,48941.0,225308.9,23.12,1917283.0,0.0,Low,0,1,Louisiana2010
Maine,26.8,2010,99000.0,129000.0,386000.0,418057.0,791331.0,41.9,59689.0,52256.2,37.64,518779.0,0.0,Low,0,1,Maine2010
Maryland,36.1,2010,511900.0,663600.0,1668100.0,1486516.0,3345423.0,54.8,79951.0,314728.3,37.24,2590777.0,0.0,Low,0,1,Maryland2010
Massachusetts,39.0,2010,561800.0,743300.0,1887300.0,1431293.0,4115539.0,48.2,75882.0,411136.1,41.79,3144691.0,0.0,Low,0,1,Massachusetts2010
Michigan,25.2,2010,872400.0,1021200.0,2764700.0,2780081.0,5038194.0,44.5,57628.0,390043.0,29.05,5135712.0,0.0,Low,0,1,Michigan2010
Minnesota,31.8,2010,447000.0,637300.0,1489000.0,1855906.0,3408753.0,40.7,65156.0,274231.3,24.72,2459074.0,0.0,Low,0,1,Minnesota2010
Mississippi,19.5,2010,265600.0,322000.0,776800.0,1153755.0,1490731.0,63.3,47521.0,93943.1,25.46,1143527.0,0.0,Low,0,1,Mississippi2010
Missouri,25.6,2010,533600.0,663900.0,1618400.0,1925762.0,3475301.0,53.8,57057.0,259816.1,22.81,2578536.0,0.0,Low,0,1,Missouri2010
Montana,28.8,2010,80000.0,106400.0,260000.0,405113.0,616344.0,41.1,51407.0,38336.1,23.08,351574.0,13.0,Low,0,1,Montana2010
Nebraska,28.6,2010,162200.0,216300.0,475300.0,867558.0,1219802.0,47.3,65384.0,91561.5,22.03,773080.0,0.0,Low,0,1,Nebraska2010
Nevada,21.7,2010,241000.0,336900.0,747600.0,698602.0,1478054.0,50.2,63760.0,124669.4,28.66,690124.0,0.0,Low,0,1,Nevada2010
New Hampshire,32.8,2010,99700.0,126400.0,402300.0,299071.0,813707.0,43.7,82979.0,64843.6,43.48,618598.0,0.0,Low,0,1,New Hampshire2010
New Jersey,35.4,2010,706500.0,977300.0,2597600.0,2289793.0,4960621.0,53.1,78415.0,492762.4,43.07,3971896.0,0.0,Low,0,1,New Jersey2010
New Mexico,25.0,2010,194100.0,222900.0,534900.0,653704.0,1059977.0,53.9,56206.0,84611.5,24.88,702897.0,0.0,Low,0,1,New Mexico2010
New York,32.5,2010,1794500.0,2323300.0,5440300.0,3874609.0,11005742.0,45.6,61993.0,1223529.7,48.1,7950192.0,0.0,Low,0,1,New York2010
North Carolina,26.5,2010,818000.0,1072500.0,2652600.0,2756601.0,5178363.0,58.7,54582.0,420027.6,25.4,3281831.0,0.0,Low,0,1,North Carolina2010
North Dakota,27.6,2010,69800.0,77900.0,171400.0,473681.0,503813.0,38.9,63519.0,35676.2,20.87,340756.0,0.0,Low,0,1,North Dakota2010
Ohio,24.6,2010,967400.0,1244400.0,3184200.0,3788343.0,6418162.0,50.9,57143.0,500515.3,26.89,5614698.0,0.0,Low,0,1,Ohio2010
Oklahoma,22.9,2010,335400.0,430900.0,970500.0,1579813.0,2130128.0,59.2,53677.0,154287.4,22.3,1581768.0,0.0,Low,0,1,Oklahoma2010
Oregon,28.8,2010,337500.0,461600.0,1029600.0,981828.0,2174324.0,47.5,63016.0,164137.2,22.15,1488595.0,11.0,Low,0,1,Oregon2010
Pennsylvania,27.1,2010,1080100.0,1316200.0,3498500.0,3755033.0,7119776.0,48.9,60166.0,604736.8,30.29,5682239.0,0.0,Low,0,1,Pennsylvania2010
Rhode Island,30.2,2010,98900.0,107200.0,296000.0,195400.0,586363.0,50.2,64287.0,49468.3,41.25,478624.0,0.0,Low,0,1,Rhode Island2010
South Carolina,24.5,2010,418300.0,491500.0,1243400.0,1665789.0,2357627.0,62.4,51927.0,165860.0,24.89,2030632.0,0.0,Low,0,1,South Carolina2010
South Dakota,26.3,2010,71100.0,88500.0,209800.0,377425.0,558135.0,43.4,56478.0,37852.5,22.93,406531.0,0.0,Low,0,1,South Dakota2010
Tennessee,23.1,2010,543900.0,716400.0,1757800.0,2251487.0,3515804.0,57.4,48058.0,257776.0,25.3,2734382.0,0.0,Low,0,1,Tennessee2010
Texas,25.9,2010,2424400.0,3101500.0,6775200.0,11605812.0,14262558.0,65.5,58861.0,1245959.4,27.69,8331127.0,0.0,Low,0,1,Texas2010
Utah,29.3,2010,300900.0,395500.0,636400.0,753018.0,1620799.0,48.2,70611.0,118669.8,20.45,1316966.0,0.0,Low,0,1,Utah2010
Vermont,33.6,2010,47700.0,62800.0,178900.0,155696.0,413312.0,43.0,69648.0,27406.6,38.81,293084.0,0.0,Low,0,1,Vermont2010
Virginia,34.2,2010,689600.0,914000.0,2268000.0,2532435.0,4743189.0,55.2,75176.0,426992.4,25.48,3510417.0,5.0,Low,0,1,Virginia2010
Washington,31.1,2010,599200.0,809300.0,1873700.0,2007894.0,3771444.0,46.9,69941.0,365497.8,19.63,2599791.0,0.0,Low,0,1,Washington2010
West Virginia,17.5,2010,151900.0,190500.0,501400.0,751538.0,899472.0,51.8,53271.0,65998.7,21.89,702587.0,0.0,Low,0,1,West Virginia2010
Wisconsin,26.3,2010,501200.0,621300.0,1584300.0,1809801.0,3426438.0,43.1,62703.0,256432.9,28.76,2461343.0,0.0,Low,0,1,Wisconsin2010
Wyoming,24.1,2010,51400.0,66400.0,148900.0,541026.0,385059.0,40.8,65007.0,37680.7,18.27,209777.0,0.0,Low,0,1,Wyoming2010
Alabama,22.3,2011,441100.0,522000.0,1280100.0,1917001.0,2497933.0,62.8,51417.0,183916.6,27.08,2307668.0,0.0,Low,0,1,Alabama2011
Alaska,26.4,2011,70700.0,88000.0,196500.0,641027.0,450364.0,7.0,69334.0,56896.3,47.13,215688.0,0.0,Low,0,1,Alaska2011
Arizona,26.6,2011,602800.0,742400.0,1636700.0,1476752.0,3239045.0,60.3,58698.0,260915.7,28.46,2363015.0,0.0,Low,0,1,Arizona2011
Arkansas,20.3,2011,253600.0,333800.0,757200.0,1131026.0,1561948.0,61.3,49862.0,105768.1,22.02,1021817.0,0.0,Low,0,1,Arkansas2011
California,30.3,2011,3760400.0,4685900.0,10286800.0,7651650.0,19986021.0,57.7,64428.0,2023500.0,38.35,14549841.0,243.0,Low,0,1,California2011
Colorado,36.7,2011,468700.0,645600.0,1419400.0,1478527.0,3204078.0,46.0,70781.0,267516.1,27.61,1798922.0,6.0,Low,0,1,Colorado2011
Connecticut,36.2,2011,278500.0,370200.0,1033800.0,743515.0,2206269.0,51.0,78973.0,233158.7,47.91,1719536.0,0.0,Low,0,1,Connecticut2011
Delaware,28.8,2011,76100.0,100200.0,244600.0,285699.0,530400.0,56.4,65989.0,61372.2,33.73,490696.0,0.0,Low,0,1,Delaware2011
District of Columbia,52.5,2011,67600.0,119000.0,155000.0,183655.0,826761.0,59.9,66702.0,109730.4,37.53,238504.0,0.0,Low,0,1,District of Columbia2011
